Level3,Batch Total,Correct,Incorrect,Accuracy,Univrep,Spread %,Representation
23241600,40,17,23,0.425,28529,0.001402082,0.013603888
24101600,52,34,18,0.653846154,29265,0.001776867,0.013954846
43211800,48,45,3,0.9375,32051,0.001497613,0.015283334
40161500,42,13,29,0.30952381,32086,0.001308982,0.015300023
46181500,45,5,40,0.111111111,33164,0.001356893,0.015814061
31162800,41,10,31,0.243902439,33210,0.001234568,0.015835996
26111800,44,35,9,0.795454545,34962,0.001258509,0.016671427
39111500,33,2,31,0.060606061,36682,0.000899624,0.017491599
27111700,54,7,47,0.12962963,36831,0.001466156,0.017562649
30181500,34,10,24,0.294117647,36878,0.000921959,0.017585061
31161500,38,9,29,0.236842105,42395,0.000896332,0.02021581
20121600,38,10,28,0.263157895,42740,0.000889097,0.020380321
31201500,38,28,10,0.736842105,42994,0.000883844,0.02050144
39121400,38,10,28,0.263157895,44324,0.000857323,0.021135643
60121000,33,26,7,0.787878788,48788,0.000676396,0.023264275
31171500,34,23,11,0.676470588,55833,0.000608959,0.026623643
55121700,42,6,36,0.142857143,60381,0.000695583,0.02879233
27112800,41,1,40,0.024390244,94104,0.000435688,0.044872947
