Level,Num Records,Num Groups,Min rows per group,Accuracy,Time of run
1 1,10000,27,20,0.695833333,0.448342315
1 1,50000,44,20,0.723150358,3.636291317
1 1,1.00E+05,45,20,0.788863109,5.930322536
1 1,150000,48,20,0.810869565,9.921950833
1 2,10000,65,20,0.73960217,0.917419136
1 2,50000,178,20,0.711452335,15.7228993
1 2,1.00E+05,238,20,0.797887662,32.62903293
1 2,150000,260,20,0.802400343,55.3085968
